,TV,radyo,gazete,satışlar,şehir,tür
0,230.1,37.8,69.2,22.1,İstanbul,Gıda
1,44.5,39.3,45.1,10.4,Ankara,Gıda
2,17.2,45.9,69.3,9.3,İzmir,Eşya
3,151.5,41.3,58.5,18.5,İzmir,Eşya
4,180.8,10.8,58.4,12.9,İstanbul,Gıda
5,8.7,48.9,75.0,7.2,İzmir,Eşya
6,57.5,32.8,23.5,11.8,Ankara,Gıda
7,120.2,19.6,11.6,13.2,İzmir,Eşya
8,8.6,2.1,1.0,4.8,İzmir,Eşya
9,199.8,2.6,21.2,10.6,Ankara,Gıda
10,66.1,5.8,24.2,8.6,İstanbul,Eşya
11,214.7,24.0,4.0,17.4,İzmir,Eşya
12,23.8,35.1,65.9,9.2,Ankara,Eşya
13,97.5,7.6,7.2,9.7,Ankara,Gıda
14,204.1,32.9,46.0,19.0,İstanbul,Eşya
15,195.4,47.7,52.9,22.4,Ankara,Gıda
16,67.8,36.6,114.0,12.5,Ankara,Gıda
17,281.4,39.6,55.8,24.4,İzmir,Eşya
18,69.2,20.5,18.3,11.3,İstanbul,Gıda
19,147.3,23.9,19.1,14.6,Ankara,Gıda
20,218.4,27.7,53.4,18.0,İstanbul,Eşya
21,237.4,5.1,23.5,12.5,İstanbul,Gıda
22,13.2,15.9,49.6,5.6,İstanbul,Gıda
23,228.3,16.9,26.2,15.5,İstanbul,Gıda
24,62.3,12.6,18.3,9.7,İstanbul,Gıda
25,262.9,3.5,19.5,12.0,Ankara,Gıda
26,142.9,29.3,12.6,15.0,Ankara,Eşya
27,240.1,16.7,22.9,15.9,İzmir,Eşya
28,248.8,27.1,22.9,18.9,İzmir,Eşya
29,70.6,16.0,40.8,10.5,İzmir,Eşya
30,292.9,28.3,43.2,21.4,Ankara,Gıda
31,112.9,17.4,38.6,11.9,İstanbul,Eşya
32,97.2,1.5,30.0,9.6,İstanbul,Eşya
33,265.6,20.0,0.3,17.4,İstanbul,Gıda
34,95.7,1.4,7.4,9.5,Ankara,Gıda
35,290.7,4.1,8.5,12.8,İzmir,Eşya
36,266.9,43.8,5.0,25.4,İzmir,Eşya
37,74.7,49.4,45.7,14.7,İzmir,Eşya
38,43.1,26.7,35.1,10.1,İstanbul,Eşya
39,228.0,37.7,32.0,21.5,Ankara,Eşya
40,202.5,22.3,31.6,16.6,Ankara,Gıda
41,177.0,33.4,38.7,17.1,İzmir,Eşya
42,293.6,27.7,1.8,20.7,İstanbul,Gıda
43,206.9,8.4,26.4,12.9,İzmir,Eşya
44,25.1,25.7,43.3,8.5,Ankara,Eşya
45,175.1,22.5,31.5,14.9,İzmir,Gıda
46,89.7,9.9,35.7,10.6,Ankara,Gıda
47,239.9,41.5,18.5,23.2,Ankara,Gıda
48,227.2,15.8,49.9,14.8,Ankara,Eşya
49,66.9,11.7,36.8,9.7,İstanbul,Eşya
50,199.8,3.1,34.6,11.4,Ankara,Gıda
51,100.4,9.6,3.6,10.7,İstanbul,Eşya
52,216.4,41.7,39.6,22.6,Ankara,Gıda
53,182.6,46.2,58.7,21.2,İstanbul,Eşya
54,262.7,28.8,15.9,20.2,İzmir,Gıda
55,198.9,49.4,60.0,23.7,İzmir,Gıda
56,7.3,28.1,41.4,5.5,İstanbul,Eşya
57,136.2,19.2,16.6,13.2,İstanbul,Eşya
58,210.8,49.6,37.7,23.8,İstanbul,Gıda
59,210.7,29.5,9.3,18.4,İstanbul,Gıda
60,53.5,2.0,21.4,8.1,İzmir,Eşya
61,261.3,42.7,54.7,24.2,İstanbul,Eşya
62,239.3,15.5,27.3,15.7,Ankara,Eşya
63,102.7,29.6,8.4,14.0,Ankara,Eşya
64,131.1,42.8,28.9,18.0,İstanbul,Eşya
65,69.0,9.3,0.9,9.3,İzmir,Eşya
66,31.5,24.6,2.2,9.5,İstanbul,Eşya
67,139.3,14.5,10.2,13.4,Ankara,Gıda
68,237.4,27.5,11.0,18.9,İstanbul,Gıda
69,216.8,43.9,27.2,22.3,İzmir,Eşya
70,199.1,30.6,38.7,18.3,İzmir,Eşya
71,109.8,14.3,31.7,12.4,İzmir,Gıda
72,26.8,33.0,19.3,8.8,İstanbul,Gıda
73,129.4,5.7,31.3,11.0,İstanbul,Eşya
74,213.4,24.6,13.1,17.0,İzmir,Gıda
75,16.9,43.7,89.4,8.7,İzmir,Gıda
76,27.5,1.6,20.7,6.9,Ankara,Gıda
77,120.5,28.5,14.2,14.2,Ankara,Gıda
78,5.4,29.9,9.4,5.3,İzmir,Gıda
79,116.0,7.7,23.1,11.0,İzmir,Gıda
80,76.4,26.7,22.3,11.8,İstanbul,Gıda
81,239.8,4.1,36.9,12.3,İzmir,Eşya
82,75.3,20.3,32.5,11.3,Ankara,Eşya
83,68.4,44.5,35.6,13.6,İstanbul,Gıda
84,213.5,43.0,33.8,21.7,İstanbul,Gıda
85,193.2,18.4,65.7,15.2,İzmir,Eşya
86,76.3,27.5,16.0,12.0,İzmir,Gıda
87,110.7,40.6,63.2,16.0,İstanbul,Gıda
